timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747812967308,675,Login,200,OK,Group 1 1-8,text,true,,1468,520,100,100,http://54.188.175.189:8065/api/v4/users/login,675,0,1
1747812967244,484,Login,200,OK,Group 1 1-1,text,true,,1469,521,100,100,http://54.188.175.189:8065/api/v4/users/login,484,0,31
1747812967244,146,Login,200,OK,Group 1 1-3,text,true,,1470,520,100,100,http://54.188.175.189:8065/api/v4/users/login,146,0,31
1747812967245,565,Login,200,OK,Group 1 1-5,text,true,,1472,523,100,100,http://54.188.175.189:8065/api/v4/users/login,565,0,30
1747812967329,736,Login,200,OK,Group 1 1-9,text,true,,1471,521,100,100,http://54.188.175.189:8065/api/v4/users/login,736,0,2
1747812967244,313,Login,200,OK,Group 1 1-4,text,true,,1470,521,100,100,http://54.188.175.189:8065/api/v4/users/login,313,0,31
1747812967286,607,Login,200,OK,Group 1 1-7,text,true,,1471,521,100,100,http://54.188.175.189:8065/api/v4/users/login,607,0,1
1747812967265,376,Login,200,OK,Group 1 1-6,text,true,,1473,523,100,100,http://54.188.175.189:8065/api/v4/users/login,376,0,10
1747812967244,229,Login,200,OK,Group 1 1-2,text,true,,1471,522,100,100,http://54.188.175.189:8065/api/v4/users/login,229,0,31
1747812967352,803,Login,200,OK,Group 1 1-10,text,true,,1469,521,100,100,http://54.188.175.189:8065/api/v4/users/login,803,0,2
1747812967373,870,Login,200,OK,Group 1 1-11,text,true,,1470,520,100,100,http://54.188.175.189:8065/api/v4/users/login,870,0,1
1747812967395,932,Login,200,OK,Group 1 1-12,text,true,,1467,519,100,100,http://54.188.175.189:8065/api/v4/users/login,932,0,1
1747812968312,103,Login,200,OK,Group 1 1-57,text,true,,1467,517,100,100,http://54.188.175.189:8065/api/v4/users/login,103,0,1
1747812967416,1086,Login,200,OK,Group 1 1-13,text,true,,1469,516,100,100,http://54.188.175.189:8065/api/v4/users/login,1086,0,2
1747812967438,1148,Login,200,OK,Group 1 1-14,text,true,,1470,522,100,100,http://54.188.175.189:8065/api/v4/users/login,1148,0,1
1747812967459,1218,Login,200,OK,Group 1 1-15,text,true,,1469,521,100,100,http://54.188.175.189:8065/api/v4/users/login,1218,0,1
1747812967480,1285,Login,200,OK,Group 1 1-16,text,true,,1466,518,100,100,http://54.188.175.189:8065/api/v4/users/login,1285,0,1
1747812967501,1343,Login,200,OK,Group 1 1-17,text,true,,1467,520,100,100,http://54.188.175.189:8065/api/v4/users/login,1343,0,2
1747812967523,1405,Login,200,OK,Group 1 1-18,text,true,,1466,519,100,100,http://54.188.175.189:8065/api/v4/users/login,1405,0,1
1747812967545,1468,Login,200,OK,Group 1 1-19,text,true,,1465,517,100,100,http://54.188.175.189:8065/api/v4/users/login,1468,0,2
1747812967566,1536,Login,200,OK,Group 1 1-20,text,true,,1476,523,100,100,http://54.188.175.189:8065/api/v4/users/login,1536,0,4
1747812967586,1599,Login,200,OK,Group 1 1-21,text,true,,1470,523,100,100,http://54.188.175.189:8065/api/v4/users/login,1599,0,3
1747812967609,1663,Login,200,OK,Group 1 1-22,text,true,,1471,521,100,100,http://54.188.175.189:8065/api/v4/users/login,1663,0,1
1747812967629,1726,Login,200,OK,Group 1 1-23,text,true,,1470,523,100,100,http://54.188.175.189:8065/api/v4/users/login,1726,0,1
1747812967650,1800,Login,200,OK,Group 1 1-24,text,true,,1473,520,100,100,http://54.188.175.189:8065/api/v4/users/login,1799,0,3
1747812967671,1857,Login,200,OK,Group 1 1-25,text,true,,1471,518,100,100,http://54.188.175.189:8065/api/v4/users/login,1857,0,2
1747812967693,1918,Login,200,OK,Group 1 1-26,text,true,,1468,521,100,100,http://54.188.175.189:8065/api/v4/users/login,1917,0,1
1747812967714,1984,Login,200,OK,Group 1 1-27,text,true,,1468,521,100,100,http://54.188.175.189:8065/api/v4/users/login,1984,0,1
1747812967735,2045,Login,200,OK,Group 1 1-28,text,true,,1467,519,100,100,http://54.188.175.189:8065/api/v4/users/login,2045,0,1
1747812967754,2112,Login,200,OK,Group 1 1-29,text,true,,1469,519,100,100,http://54.188.175.189:8065/api/v4/users/login,2112,0,2
1747812967786,2166,Login,200,OK,Group 1 1-30,text,true,,1474,521,100,100,http://54.188.175.189:8065/api/v4/users/login,2166,0,2
1747812967794,2241,Login,200,OK,Group 1 1-31,text,true,,1471,522,100,100,http://54.188.175.189:8065/api/v4/users/login,2241,0,2
1747812967814,2306,Login,200,OK,Group 1 1-32,text,true,,1467,518,100,100,http://54.188.175.189:8065/api/v4/users/login,2306,0,1
1747812967834,2371,Login,200,OK,Group 1 1-33,text,true,,1467,520,100,100,http://54.188.175.189:8065/api/v4/users/login,2371,0,3
1747812967854,2434,Login,200,OK,Group 1 1-34,text,true,,1470,521,100,100,http://54.188.175.189:8065/api/v4/users/login,2434,0,1
1747812967875,2501,Login,200,OK,Group 1 1-35,text,true,,1469,522,100,100,http://54.188.175.189:8065/api/v4/users/login,2501,0,1
1747812967894,2565,Login,200,OK,Group 1 1-36,text,true,,1472,523,100,100,http://54.188.175.189:8065/api/v4/users/login,2565,0,3
1747812967914,2630,Login,200,OK,Group 1 1-37,text,true,,1468,520,100,100,http://54.188.175.189:8065/api/v4/users/login,2630,0,1
1747812967934,2696,Login,200,OK,Group 1 1-38,text,true,,1466,519,100,100,http://54.188.175.189:8065/api/v4/users/login,2696,0,1
1747812967954,2760,Login,200,OK,Group 1 1-39,text,true,,1467,520,100,100,http://54.188.175.189:8065/api/v4/users/login,2760,0,2
1747812967974,2825,Login,200,OK,Group 1 1-40,text,true,,1469,520,100,100,http://54.188.175.189:8065/api/v4/users/login,2825,0,1
1747812967994,2890,Login,200,OK,Group 1 1-41,text,true,,1468,520,100,100,http://54.188.175.189:8065/api/v4/users/login,2890,0,1
1747812968013,2970,Login,200,OK,Group 1 1-42,text,true,,1469,522,100,100,http://54.188.175.189:8065/api/v4/users/login,2970,0,2
1747812968034,3029,Login,200,OK,Group 1 1-43,text,true,,1474,521,100,100,http://54.188.175.189:8065/api/v4/users/login,3029,0,1
1747812971100,24,Get User Data,200,OK,Group 1 1-4,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,23,0,0
1747812971100,24,Get User Data,200,OK,Group 1 1-7,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,23,0,0
1747812971100,25,Get User Data,200,OK,Group 1 1-8,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,25,0,0
1747812971101,27,Get User Data,200,OK,Group 1 1-6,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,27,0,0
1747812971101,28,Get User Data,200,OK,Group 1 1-3,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,28,0,0
1747812971100,29,Get User Data,200,OK,Group 1 1-9,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,29,0,0
1747812971101,33,Get User Data,200,OK,Group 1 1-5,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,33,0,0
1747812971101,33,Get User Data,200,OK,Group 1 1-1,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,33,0,0
1747812971102,33,Get User Data,200,OK,Group 1 1-2,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,33,0,0
1747812968053,3107,Login,200,OK,Group 1 1-44,text,true,,1474,521,100,100,http://54.188.175.189:8065/api/v4/users/login,3107,0,2
1747812971157,9,Get User Data,200,OK,Group 1 1-10,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,8,0,0
1747812968073,3170,Login,200,OK,Group 1 1-45,text,true,,1476,523,100,100,http://54.188.175.189:8065/api/v4/users/login,3170,0,1
1747812971245,3,Get User Data,200,OK,Group 1 1-11,text,true,,3739,514,100,100,http://54.188.175.189:8065/api/v4/users,3,0,0
1747812968093,3238,Login,200,OK,Group 1 1-46,text,true,,1469,520,100,100,http://54.188.175.189:8065/api/v4/users/login,3238,0,4
1747812971329,7,Get User Data,200,OK,Group 1 1-12,text,true,,3740,514,100,100,http://54.188.175.189:8065/api/v4/users,6,0,0
1747812968113,3303,Login,200,OK,Group 1 1-47,text,true,,1469,519,100,100,http://54.188.175.189:8065/api/v4/users/login,3303,0,1
1747812971417,5,Get User Data,200,OK,Group 1 1-57,text,true,,3740,514,100,100,http://54.188.175.189:8065/api/v4/users,5,0,0
1747812968133,3367,Login,200,OK,Group 1 1-48,text,true,,1474,525,100,100,http://54.188.175.189:8065/api/v4/users/login,3366,0,1
1747812971504,6,Get User Data,200,OK,Group 1 1-13,text,true,,3740,514,100,100,http://54.188.175.189:8065/api/v4/users,6,0,0
1747812968153,3429,Login,200,OK,Group 1 1-49,text,true,,1473,520,100,100,http://54.188.175.189:8065/api/v4/users/login,3429,0,1
1747812971589,5,Get User Data,200,OK,Group 1 1-14,text,true,,3740,514,100,100,http://54.188.175.189:8065/api/v4/users,4,0,0
1747812968173,3500,Login,200,OK,Group 1 1-50,text,true,,1471,518,100,100,http://54.188.175.189:8065/api/v4/users/login,3499,0,2
1747812971679,5,Get User Data,200,OK,Group 1 1-15,text,true,,3740,514,100,100,http://54.188.175.189:8065/api/v4/users,4,0,0
