timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747812773839,228,Login,200,OK,Group 1 1-3,text,true,,1470,520,50,50,http://54.188.175.189:8065/api/v4/users/login,228,0,33
1747812773928,753,Login,200,OK,Group 1 1-9,text,true,,1471,521,50,50,http://54.188.175.189:8065/api/v4/users/login,753,0,2
1747812773863,471,Login,200,OK,Group 1 1-6,text,true,,1473,523,50,50,http://54.188.175.189:8065/api/v4/users/login,471,0,9
1747812773885,618,Login,200,OK,Group 1 1-7,text,true,,1471,521,50,50,http://54.188.175.189:8065/api/v4/users/login,618,0,1
1747812773906,693,Login,200,OK,Group 1 1-8,text,true,,1468,520,50,50,http://54.188.175.189:8065/api/v4/users/login,693,0,2
1747812773839,321,Login,200,OK,Group 1 1-2,text,true,,1471,522,50,50,http://54.188.175.189:8065/api/v4/users/login,321,0,33
1747812773839,146,Login,200,OK,Group 1 1-5,text,true,,1472,523,50,50,http://54.188.175.189:8065/api/v4/users/login,145,0,33
1747812773839,580,Login,200,OK,Group 1 1-1,text,true,,1469,521,50,50,http://54.188.175.189:8065/api/v4/users/login,580,0,33
1747812773839,409,Login,200,OK,Group 1 1-4,text,true,,1470,521,50,50,http://54.188.175.189:8065/api/v4/users/login,409,0,33
1747812773950,815,Login,200,OK,Group 1 1-10,text,true,,1469,521,50,50,http://54.188.175.189:8065/api/v4/users/login,815,0,3
1747812773972,878,Login,200,OK,Group 1 1-11,text,true,,1470,520,50,50,http://54.188.175.189:8065/api/v4/users/login,878,0,1
1747812773994,947,Login,200,OK,Group 1 1-12,text,true,,1467,519,50,50,http://54.188.175.189:8065/api/v4/users/login,947,0,1
1747812774014,1013,Login,200,OK,Group 1 1-13,text,true,,1469,516,50,50,http://54.188.175.189:8065/api/v4/users/login,1013,0,2
1747812774034,1072,Login,200,OK,Group 1 1-14,text,true,,1470,522,50,50,http://54.188.175.189:8065/api/v4/users/login,1072,0,2
1747812774055,1142,Login,200,OK,Group 1 1-15,text,true,,1469,521,50,50,http://54.188.175.189:8065/api/v4/users/login,1142,0,1
1747812774075,1208,Login,200,OK,Group 1 1-16,text,true,,1466,518,50,50,http://54.188.175.189:8065/api/v4/users/login,1208,0,3
1747812774096,1276,Login,200,OK,Group 1 1-17,text,true,,1467,520,50,50,http://54.188.175.189:8065/api/v4/users/login,1276,0,2
1747812774117,1339,Login,200,OK,Group 1 1-18,text,true,,1466,519,50,50,http://54.188.175.189:8065/api/v4/users/login,1339,0,1
1747812774137,1400,Login,200,OK,Group 1 1-19,text,true,,1465,517,50,50,http://54.188.175.189:8065/api/v4/users/login,1400,0,3
1747812774156,1466,Login,200,OK,Group 1 1-20,text,true,,1476,523,50,50,http://54.188.175.189:8065/api/v4/users/login,1466,0,5
1747812774179,1528,Login,200,OK,Group 1 1-21,text,true,,1470,523,50,50,http://54.188.175.189:8065/api/v4/users/login,1528,0,2
1747812774198,1593,Login,200,OK,Group 1 1-22,text,true,,1471,521,50,50,http://54.188.175.189:8065/api/v4/users/login,1593,0,4
1747812774219,1670,Login,200,OK,Group 1 1-23,text,true,,1470,523,50,50,http://54.188.175.189:8065/api/v4/users/login,1670,0,2
1747812774238,1748,Login,200,OK,Group 1 1-24,text,true,,1473,520,50,50,http://54.188.175.189:8065/api/v4/users/login,1748,0,4
1747812774258,1816,Login,200,OK,Group 1 1-25,text,true,,1471,518,50,50,http://54.188.175.189:8065/api/v4/users/login,1816,0,1
1747812774278,1885,Login,200,OK,Group 1 1-26,text,true,,1468,521,50,50,http://54.188.175.189:8065/api/v4/users/login,1885,0,4
1747812774298,1945,Login,200,OK,Group 1 1-27,text,true,,1468,521,50,50,http://54.188.175.189:8065/api/v4/users/login,1945,0,1
1747812774318,2012,Login,200,OK,Group 1 1-28,text,true,,1467,519,50,50,http://54.188.175.189:8065/api/v4/users/login,2012,0,2
1747812774339,2076,Login,200,OK,Group 1 1-29,text,true,,1469,519,50,50,http://54.188.175.189:8065/api/v4/users/login,2076,0,4
1747812774358,2141,Login,200,OK,Group 1 1-30,text,true,,1474,521,50,50,http://54.188.175.189:8065/api/v4/users/login,2141,0,1
1747812774378,2207,Login,200,OK,Group 1 1-31,text,true,,1471,522,50,50,http://54.188.175.189:8065/api/v4/users/login,2207,0,1
1747812774399,2272,Login,200,OK,Group 1 1-32,text,true,,1467,518,50,50,http://54.188.175.189:8065/api/v4/users/login,2272,0,3
1747812774418,2337,Login,200,OK,Group 1 1-33,text,true,,1467,520,50,50,http://54.188.175.189:8065/api/v4/users/login,2337,0,3
1747812774438,2403,Login,200,OK,Group 1 1-34,text,true,,1470,521,50,50,http://54.188.175.189:8065/api/v4/users/login,2403,0,2
1747812774458,2465,Login,200,OK,Group 1 1-35,text,true,,1469,522,50,50,http://54.188.175.189:8065/api/v4/users/login,2465,0,1
1747812774476,2538,Login,200,OK,Group 1 1-36,text,true,,1472,523,50,50,http://54.188.175.189:8065/api/v4/users/login,2538,0,1
1747812774496,2596,Login,200,OK,Group 1 1-37,text,true,,1468,520,50,50,http://54.188.175.189:8065/api/v4/users/login,2596,0,1
1747812774516,2663,Login,200,OK,Group 1 1-38,text,true,,1466,519,50,50,http://54.188.175.189:8065/api/v4/users/login,2663,0,1
1747812774532,2735,Login,200,OK,Group 1 1-39,text,true,,1467,520,50,50,http://54.188.175.189:8065/api/v4/users/login,2735,0,1
1747812774551,2795,Login,200,OK,Group 1 1-40,text,true,,1469,520,50,50,http://54.188.175.189:8065/api/v4/users/login,2795,0,2
1747812774571,2862,Login,200,OK,Group 1 1-41,text,true,,1468,520,50,50,http://54.188.175.189:8065/api/v4/users/login,2862,0,2
1747812774590,2929,Login,200,OK,Group 1 1-42,text,true,,1469,522,50,50,http://54.188.175.189:8065/api/v4/users/login,2929,0,2
1747812774608,2997,Login,200,OK,Group 1 1-43,text,true,,1474,521,50,50,http://54.188.175.189:8065/api/v4/users/login,2997,0,4
1747812774627,3063,Login,200,OK,Group 1 1-44,text,true,,1474,521,50,50,http://54.188.175.189:8065/api/v4/users/login,3063,0,4
