timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747819327800,830,Login,200,OK,Group 1 1-9,text,true,,1471,519,50,50,http://52.159.140.65:8065/api/v4/users/login,830,0,2
1747819327739,329,Login,200,OK,Group 1 1-5,text,true,,1472,521,50,50,http://52.159.140.65:8065/api/v4/users/login,329,0,56
1747819328005,1584,Login,200,OK,Group 1 1-18,text,true,,1466,517,50,50,http://52.159.140.65:8065/api/v4/users/login,1584,0,5
1747819327749,820,Login,200,OK,Group 1 1-7,text,true,,1471,519,50,50,http://52.159.140.65:8065/api/v4/users/login,820,0,45
1747819327740,407,Login,200,OK,Group 1 1-1,text,true,,1469,519,50,50,http://52.159.140.65:8065/api/v4/users/login,407,0,55
1747819327958,1434,Login,200,OK,Group 1 1-16,text,true,,1466,516,50,50,http://52.159.140.65:8065/api/v4/users/login,1434,0,4
1747819327891,1209,Login,200,OK,Group 1 1-13,text,true,,1469,514,50,50,http://52.159.140.65:8065/api/v4/users/login,1209,0,4
1747819328027,1655,Login,200,OK,Group 1 1-19,text,true,,1465,515,50,50,http://52.159.140.65:8065/api/v4/users/login,1655,0,6
1747819327771,686,Login,200,OK,Group 1 1-8,text,true,,1468,518,50,50,http://52.159.140.65:8065/api/v4/users/login,683,0,23
1747819327937,1375,Login,200,OK,Group 1 1-15,text,true,,1469,519,50,50,http://52.159.140.65:8065/api/v4/users/login,1375,0,3
1747819327821,905,Login,200,OK,Group 1 1-10,text,true,,1469,519,50,50,http://52.159.140.65:8065/api/v4/users/login,905,0,3
1747819327870,1139,Login,200,OK,Group 1 1-12,text,true,,1467,517,50,50,http://52.159.140.65:8065/api/v4/users/login,1139,0,3
1747819327740,1082,Login,200,OK,Group 1 1-2,text,true,,1471,520,50,50,http://52.159.140.65:8065/api/v4/users/login,1082,0,55
1747819327913,1283,Login,200,OK,Group 1 1-14,text,true,,1470,520,50,50,http://52.159.140.65:8065/api/v4/users/login,1283,0,3
1747819327844,1073,Login,200,OK,Group 1 1-11,text,true,,1470,518,50,50,http://52.159.140.65:8065/api/v4/users/login,1073,0,2
1747819327982,1505,Login,200,OK,Group 1 1-17,text,true,,1467,518,50,50,http://52.159.140.65:8065/api/v4/users/login,1505,0,3
1747819327739,521,Login,200,OK,Group 1 1-6,text,true,,1473,521,50,50,http://52.159.140.65:8065/api/v4/users/login,521,0,55
1747819327741,223,Login,200,OK,Group 1 1-4,text,true,,1470,519,50,50,http://52.159.140.65:8065/api/v4/users/login,222,0,54
1747819327740,604,Login,200,OK,Group 1 1-3,text,true,,1470,518,50,50,http://52.159.140.65:8065/api/v4/users/login,604,0,55
1747819328053,1736,Login,200,OK,Group 1 1-20,text,true,,1476,521,50,50,http://52.159.140.65:8065/api/v4/users/login,1736,0,7
1747819328073,1822,Login,200,OK,Group 1 1-21,text,true,,1470,521,50,50,http://52.159.140.65:8065/api/v4/users/login,1822,0,4
1747819328088,1892,Login,200,OK,Group 1 1-22,text,true,,1471,519,50,50,http://52.159.140.65:8065/api/v4/users/login,1892,0,6
1747819328108,1965,Login,200,OK,Group 1 1-23,text,true,,1470,521,50,50,http://52.159.140.65:8065/api/v4/users/login,1964,0,5
1747819328127,2039,Login,200,OK,Group 1 1-24,text,true,,1473,518,50,50,http://52.159.140.65:8065/api/v4/users/login,2039,0,6
1747819328146,2117,Login,200,OK,Group 1 1-25,text,true,,1471,516,50,50,http://52.159.140.65:8065/api/v4/users/login,2117,0,4
1747819328165,2197,Login,200,OK,Group 1 1-26,text,true,,1468,519,50,50,http://52.159.140.65:8065/api/v4/users/login,2196,0,6
1747819328185,2269,Login,200,OK,Group 1 1-27,text,true,,1468,519,50,50,http://52.159.140.65:8065/api/v4/users/login,2269,0,6
1747819328205,2337,Login,200,OK,Group 1 1-28,text,true,,1467,517,50,50,http://52.159.140.65:8065/api/v4/users/login,2337,0,6
1747819328222,2408,Login,200,OK,Group 1 1-29,text,true,,1469,517,50,50,http://52.159.140.65:8065/api/v4/users/login,2408,0,3
1747819328240,2480,Login,200,OK,Group 1 1-30,text,true,,1474,519,50,50,http://52.159.140.65:8065/api/v4/users/login,2480,0,4
1747819328259,2554,Login,200,OK,Group 1 1-31,text,true,,1471,520,50,50,http://52.159.140.65:8065/api/v4/users/login,2554,0,6
1747819328277,2625,Login,200,OK,Group 1 1-32,text,true,,1467,516,50,50,http://52.159.140.65:8065/api/v4/users/login,2625,0,5
1747819328295,2695,Login,200,OK,Group 1 1-33,text,true,,1467,518,50,50,http://52.159.140.65:8065/api/v4/users/login,2695,0,4
1747819328314,2771,Login,200,OK,Group 1 1-34,text,true,,1470,519,50,50,http://52.159.140.65:8065/api/v4/users/login,2771,0,3
1747819328330,2851,Login,200,OK,Group 1 1-35,text,true,,1469,520,50,50,http://52.159.140.65:8065/api/v4/users/login,2851,0,6
1747819328357,2924,Login,200,OK,Group 1 1-36,text,true,,1472,521,50,50,http://52.159.140.65:8065/api/v4/users/login,2924,0,6
1747819328373,3004,Login,200,OK,Group 1 1-37,text,true,,1468,518,50,50,http://52.159.140.65:8065/api/v4/users/login,3004,0,5
1747819328386,3075,Login,200,OK,Group 1 1-38,text,true,,1466,517,50,50,http://52.159.140.65:8065/api/v4/users/login,3075,0,4
1747819328401,3156,Login,200,OK,Group 1 1-39,text,true,,1467,518,50,50,http://52.159.140.65:8065/api/v4/users/login,3156,0,4
1747819328414,3234,Login,200,OK,Group 1 1-40,text,true,,1469,518,50,50,http://52.159.140.65:8065/api/v4/users/login,3234,0,5
1747819328430,3310,Login,200,OK,Group 1 1-41,text,true,,1468,518,50,50,http://52.159.140.65:8065/api/v4/users/login,3310,0,4
1747819328445,3389,Login,200,OK,Group 1 1-42,text,true,,1469,520,50,50,http://52.159.140.65:8065/api/v4/users/login,3389,0,3
1747819328456,3465,Login,200,OK,Group 1 1-43,text,true,,1474,519,50,50,http://52.159.140.65:8065/api/v4/users/login,3465,0,6
1747819328470,3549,Login,200,OK,Group 1 1-44,text,true,,1474,519,50,50,http://52.159.140.65:8065/api/v4/users/login,3549,0,8
1747819328483,3630,Login,200,OK,Group 1 1-45,text,true,,1476,521,50,50,http://52.159.140.65:8065/api/v4/users/login,3630,0,5
1747819328498,3709,Login,200,OK,Group 1 1-46,text,true,,1469,518,50,50,http://52.159.140.65:8065/api/v4/users/login,3709,0,6
1747819328509,3788,Login,200,OK,Group 1 1-47,text,true,,1469,517,50,50,http://52.159.140.65:8065/api/v4/users/login,3788,0,3
1747819328524,3866,Login,200,OK,Group 1 1-48,text,true,,1474,523,50,50,http://52.159.140.65:8065/api/v4/users/login,3866,0,6
1747819328569,3910,Login,200,OK,Group 1 1-50,text,true,,1471,516,50,50,http://52.159.140.65:8065/api/v4/users/login,3910,0,6
1747819328570,4010,Login,200,OK,Group 1 1-49,text,true,,1473,518,50,50,http://52.159.140.65:8065/api/v4/users/login,4010,0,6
1747819332782,21,Get User Data,200,OK,Group 1 1-15,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,19,0,0
1747819332781,34,Get User Data,200,OK,Group 1 1-8,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,34,0,0
1747819332784,34,Get User Data,200,OK,Group 1 1-5,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,34,0,0
1747819332786,48,Get User Data,200,OK,Group 1 1-17,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,48,0,0
1747819332781,57,Get User Data,200,OK,Group 1 1-19,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,57,0,0
1747819332782,65,Get User Data,200,OK,Group 1 1-12,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,64,0,0
1747819332784,68,Get User Data,200,OK,Group 1 1-14,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,68,0,0
1747819332787,94,Get User Data,200,OK,Group 1 1-13,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,94,0,0
1747819332786,95,Get User Data,200,OK,Group 1 1-18,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,95,0,0
1747819332788,94,Get User Data,200,OK,Group 1 1-11,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,94,0,0
1747819332788,95,Get User Data,200,OK,Group 1 1-4,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,95,0,0
1747819332786,98,Get User Data,200,OK,Group 1 1-10,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,98,0,0
1747819332783,101,Get User Data,200,OK,Group 1 1-2,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,101,0,0
1747819332785,100,Get User Data,200,OK,Group 1 1-1,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,96,0,0
1747819332790,95,Get User Data,200,OK,Group 1 1-3,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,95,0,0
1747819332781,105,Get User Data,200,OK,Group 1 1-9,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,104,0,0
1747819332786,104,Get User Data,200,OK,Group 1 1-7,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,65,0,0
1747819332794,97,Get User Data,200,OK,Group 1 1-20,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,97,0,0
1747819332783,109,Get User Data,200,OK,Group 1 1-16,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,109,0,0
1747819332787,106,Get User Data,200,OK,Group 1 1-6,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,106,0,0
1747819332899,7,Get User Data,200,OK,Group 1 1-21,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,7,0,0
1747819332983,7,Get User Data,200,OK,Group 1 1-22,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,7,0,0
1747819333079,7,Get User Data,200,OK,Group 1 1-23,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333172,7,Get User Data,200,OK,Group 1 1-24,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333266,10,Get User Data,200,OK,Group 1 1-25,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,10,0,0
1747819333366,6,Get User Data,200,OK,Group 1 1-26,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333457,6,Get User Data,200,OK,Group 1 1-27,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333546,6,Get User Data,200,OK,Group 1 1-28,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333634,7,Get User Data,200,OK,Group 1 1-29,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,7,0,0
1747819333723,7,Get User Data,200,OK,Group 1 1-30,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,7,0,0
1747819333817,8,Get User Data,200,OK,Group 1 1-31,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,8,0,0
1747819333905,6,Get User Data,200,OK,Group 1 1-32,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
1747819333993,7,Get User Data,200,OK,Group 1 1-33,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,7,0,0
1747819334089,6,Get User Data,200,OK,Group 1 1-34,text,true,,3723,513,50,50,http://52.159.140.65:8065/api/v4/users,6,0,0
